;Song Title;Artist;Lyrics;bpm
72;We're Good;Dua Lipa;"TranslationsTürkçeEspañolРусскийPortuguêsPolski日本語ItalianoDeutschFrançaisWe’re Good Lyrics[Verse 1]
I'm on an island, even when you're close
Can't take the silence, I'd rather be alone

[Pre-Chorus]
I think it's pretty plain and simple, we gave it all we could
It's time I wave goodbye from the window
Let's end this like we should and say we're good

[Chorus]
We're not meant to be, like sleeping and cocaine
So let's at least agree to go our separate ways
Not gonna judge you when you're with somebody else
As long as you swear you won't be pissed when I do it myself
Let's end it like we should and say we're good
[Verse 2]
No need to hide it, go get what you want
This won't be a burden if we both don't hold a grudge

[Pre-Chorus]
I think it's pretty plain and simple, we gave it all we could
It's time I wave goodbye from the window
Let's end this like we should and say we're good

[Chorus]
We're not meant to be, like sleeping and cocaine
So let's at least agree to go our separate ways
Not gonna judge you when you're with somebody else
As long as you swear you won't be pissed when I do it myself
Let's end it like we should and say we're good

[Bridge]
Now you're holding this against me like I knew you would
I'm trying my best to make this easy
So don't give me that look, just say we're good

[Chorus]
We're not meant to be, like sleeping and cocaine
(Like sleeping and cocaine)
So let's at least agree to go our separate ways
(To go our separate ways, oh)
Not gonna judge you when you're with somebody else
As long as you swear you won't be pissed when I do it myself
Let's end it like we should and say we're goodYou might also like48Embed";134
73;Worth it;Fifth Harmony;"TranslationsLietuviųPortuguêsEnglishFrançaisWorth It Lyrics[Chorus: Camila & Normani]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it

[Post-Chorus: Kid Ink]
Okay, I tell her bring it back like she left some
Bring it, bring it back like she left some
Uh, in the club with the lights off
What you actin shy fo'? Come and show me that you
Wid it, wid it, wid it, wid it, wid it
Stop playin', how you know that I
Wid it, wid it, wid it, wid it, wid it, wid it
What you actin' shy for?
[Verse 1: Dinah]
Just give me you, just give me you
Just give me you, that's all I wanna do
And if what they say is true
If it's true, I might give me to you
I may talk a lot of stuff
Guaranteed I can back it up
I think I'ma call you bluff
Hurry up, I'm waiting out front

[Pre-Chorus: Normani]
Uh-huh, you see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got cause I don't wanna waste my time
Uh-huh, see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got now come and make it worth my while

[Chorus: Camila & Normani]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
You might also like[Verse 2: Camila]
It's all on you, it's all on you
It's all on you, so what you wanna do?
And if you don't have a clue
Not a clue, I'll tell you what to do
Come harder just because
I don't like it, like it too soft
I like it a little rough
Not too much, but maybe just enough

[Pre-Chorus: Ally]
Uh-huh, you see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got cause I don't wanna waste my time
Uh-huh, see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got now come and make it worth my while

[Chorus: Camila & Normani, Camila]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it (Know what I mean?)
Baby, I'm worth it (Give me everything)
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
[Post-Chorus: Kid Ink]
Okay, I tell her bring it back like she left some
Bring it, bring it back like she left some
Uh, in the club with the lights off
What you actin shy fo'? Come and show me that you
Wid it, wid it, wid it, wid it, wid it
Stop playin', how you know that I
Wid it, wid it, wid it, wid it, wid it, wid it
What you actin' shy for?

[Pre-Chorus: Ally & Normani, Ally]
Uh-huh, you see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got cause I don't wanna waste my time
Uh-huh, see me in the spot, like ""Ooh, I love your style""
Uh-huh, show me what you got now come and make it worth my while

[Chorus: Camila & Normani, Camila]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it (Know what I mean?)
Baby, I'm worth it (Give me everything)
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it112Embed";100
74;What's My Name?;Rihanna;"TranslationsEspañolPortuguêsEnglishWhat’s My Name? Lyrics[Refrain: Rihanna & Drake]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name? (Uh)
What's my name? What's my name? (Yeah)

[Verse 1: Drake]
I heard you good with them soft lips
Yeah, you know, word of mouth
The square root of sixty-nine is eight somethin', right?
'Cause I've been tryna work it out, oh
Good weed, white wine, uh
I come alive in the night time, yeah
Okay, away we go
Only thing we have on is the radio
Let it play
Say you gotta leave, but I know you wanna stay
You just waitin' on the traffic jam to finish, girl
The things that we could do in twenty minutes, girl
Say my name, say my name, wear it out
It's gettin' hot, crack a window, air it out
I can get you through a mighty long day
Soon as you go, the text that I write is gon' say
[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Verse 2: Rihanna]
Not everybody
Knows how to work my body
Knows how to make me want it
But, boy, you stay up on it
You got that somethin'
That keeps me so off balance
Baby, you're a challenge
Let's explore your talent

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
You might also like[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Verse 3: Rihanna]
Baby, you got me
And ain't nowhere that I'd be
Than with your arms around me
Back and forth, you rock me, yeah
So I surrender
To every word you whisper
Every door you enter
I will let you in

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
[Bridge: Rihanna]
You're so amazing
You took the time to figure me out
That's why you take me
Way past the point of turnin' me on
You 'bout to break me
I swear you got me losin' my mind

[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah61Embed";100
75;Hips Don't Lie;Shakira;"Hips Don’t Lie Lyrics[Intro: Wyclef Jean]
Ladies up in here tonight
No fighting (We got the refugees up in here)
No fighting
No fighting
Shakira, Shakira

[Pre-Chorus: Wyclef Jean & Shakira]
I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama (Sí!), bonita? (Sí!)
Mi casa, su casa (Shakira, Shakira)
Oh baby, when you talk like that (Huh-uh) (Yeah)
You make a woman go mad (Oh)
So be wise (Sí!) and keep on (Sí!)
Reading the signs of my body (Uno, dos, tres, cuatro)
No fighting
[Chorus: Shakira  & Wyclef Jean]
I'm on tonight
You know my hips don't lie (No fighting)
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby? This is perfection

[Verse 1: Wyclef Jean]
Hey girl, I can see your body moving
And it's driving me crazy (Huh-uh)
And I didn't have the slightest idea
Until I saw you dancing (Yeah)
That when you walk up on the dance floor, nobody cannot ignore
The way you move your body, girl (Just smooth)
And everything's so unexpected, the way you right and left it
So you can keep on shaking it (Let's go)

[Pre-Chorus: Wyclef Jean & Shakira]
I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama (Sí!), bonita? (Sí!)
Mi casa, su casa (Shakira, Shakira)
Oh baby, when you talk like that (Huh-uh) (Oh)
You make a woman go mad (So bad) (Oh)
So be wise (Sí!) and keep on (Sí!)
Reading the signs of my body
No fighting
You might also like[Chorus: Shakira  & Wyclef Jean]
I'm on tonight
You know my hips don't lie (No fighting)
And I'm starting to feel you, boy (Yeah)
Come on, let's go, real slow
Don't you see, baby? Así es perfecto
They know I'm on tonight (Yeah)
My hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see baby? This is perfection (Shakira, Shakira)

[Verse 2: Shakira & Wyclef Jean]
Oh boy, I can see your body moving
Half animal, half man
I don't, don't really know what I'm doing
But you seem to have a plan (Yeah)
My will and self-restraint
Have come to fail now, fail now
See, I'm doing what I can, but I can't, so, you know
That's a bit too hard to explain (Uno, dos, tres, cuatro)

[Bridge: Wyclef Jean with Shakira]
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
[Pre-Chorus: Wyclef Jean & Shakira]
I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish (Yeah)
¿Cómo se llama (Sí!), bonita? (Sí!)
Mi casa, su casa (Shakira, Shakira)
Oh baby, when you talk like that (Huh-uh) (Oh)
You know you got me hypnotized (Oh)
So be wise (Sí! Uh) and keep on (Sí! Uh)
Reading the signs of my body (Yeah)

[Refrain: Wyclef Jean & Shakira]
Señorita, feel the conga
Let me see you move like you come from Colombia
Yeah, oh, yeah, ladies, sí! (Yeah, yeah, hey, yeah)
Mira, en Barranquilla se baila así, say it! (Yeah)
En Barranquilla se baila así (Yeah)

[Verse 3: Wyclef Jean with Shakira]
Yeah, she's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country (Huh-uh)
I go back like when 'Pac carried crates for Humpty Humpty
We leave the whole club jazzy
Why the CIA wanna watch us?
It's the Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo-bop-so-bop, no more do we snatch ropes
Refugees run the seas, 'cause we own our own boats, boats (No fighting)

[Chorus: Shakira & Wyclef Jean]
I'm on tonight
My hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto (No fighting)
Oh, you know I'm on tonight
My hips don't lie
And I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection

[Outro: Wyclef Jean & Shakira]
No fighting
No fighting82Embed";100
76;Linkin Park;Given Up;"TranslationsPortuguêsItalianoGiven Up Lyrics[Verse 1: Chester Bennington]
Wake in a sweat again
Another day's been laid to waste, in my disgrace
Stuck in my head again
Feels like I'll never leave this place, there's no escape

[Pre-Chorus: Chester Bennington]
I'm my own worst enemy

[Chorus: Chester Bennington]
I've given up, I'm sick of feeling
Is there nothing you can say?
Take this all away, I'm suffocating
Tell me what the fuck is wrong with me
[Verse 2: Chester Bennington]
I don't know what to take
Thought I was focused but I'm scared, I'm not prepared
I hyperventilate
Looking for help somehow, somewhere and no one cares

[Pre-Chorus: Chester Bennington]
I'm my own worst enemy

[Chorus: Chester Bennington]
I've given up, I'm sick of feeling
Is there nothing you can say?
Take this all away, I'm suffocating
Tell me what the fuck is wrong with me

[Bridge: Chester Bennington]
God!
Put me out of my misery!
Put me out of my misery!
Put me out of my
Put me out of my fucking misery!

[Chorus: Chester Bennington]
I've given up, I'm sick of feeling
Is there nothing you can say?
Take this all away, I'm suffocating
Tell me what the fuck is wrong with meYou might also like36Embed";100
77;Love Me Harder;Ariana Grande;"TranslationsFrançaisLove Me Harder Lyrics[Verse 1: Ariana Grande]
Tell me something I need to know
Then take my breath and never let it go
If you just let me invade your space
I’ll take the pleasure, take it with the pain

[Pre-Chorus: Ariana Grande]
And if in the moment, I bite my lip
Baby, in that moment, you’ll know this is
Something bigger than us and beyond bliss
Give me a reason to believe it
[Chorus: Ariana Grande]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Verse 2: The Weeknd]
I know your motives and you know mine
The ones that love me, I tend to leave behind
If you know about me and choose to stay
Then take this pleasure and take it with the pain

[Pre-Chorus: The Weeknd]
And if in the moment you bite your lip
When I get you moaning, you know it's real
Can you feel the pressure between your hips?
I’ll make it feel like the first time

[Chorus: Ariana Grande, The Weeknd]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you harder, hey!)
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Love me, baby, love me) (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (Oh)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (You gotta love me harder)
You might also like[Bridge: The Weeknd, Ariana Grande]
So what do I do if I can’t figure it out? (Figure it out)
You got to try, try, try again, yeah (Oh whoa)
So what do I do if I can’t figure it out? (Figure it out)
I’m gonna leave, leave, leave again

[Chorus: Ariana Grande, The Weeknd, Both]
'Cause if you want to keep me (Hey!)
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you, love you, love)
And if you really need me (Ooh)
You gotta, gotta, gotta, gotta
Got to love me harder (Got to love me, baby)
'Cause if you want to keep me (Hey)
You gotta, gotta, gotta, gotta
Got to love me harder (Love me harder, love me harder)
And if you really need me
You gotta, gotta, gotta, gotta (I'ma do it, do it, do it)
Got to love me harder (I'ma love you harder, hey!)

[Outro: Ariana Grande, The Weeknd]
Ooh-ooh-ooh-ooh
Love me, love me, love me (Love me)
Ooh-ooh-ooh-ooh
Harder, harder, harder (Boy, you gotta love me, love me, baby)
Ooh-ooh-ooh-ooh
Love me, love me, love me (Just a little bit harder, harder, baby)
Ooh-ooh-ooh-ooh
Harder, harder, harder527Embed";99
78;Alejandro;Lady Gaga;"TranslationsEspañolAlejandro Lyrics[Intro]
I know that we are young, and I know that you may love me
But I just can't be with you like this anymore
Alejandro...

[Verse 1]
She's got both hands in her pocket
And she won't look at you, won't look at you
She hides true love, en su bolsillo
She's got a halo around her finger, around you
[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro

[Interlude]
Stop, please, just let me go
Alejandro, just let me go

[Verse 2]
She's not broken, she's just a baby
But her boyfriend's like her dad, just like her dad
And all those flames that burned before him
Now he's gotta firefight, gotta cool the bad
You might also like[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro

[Bridge]
Don't bother me, don't bother me
Alejandro
Don't call my name, don't call my name
Bye, Fernando
I'm not your babe, I'm not your babe
Alejandro
Don't wanna kiss
Don't wanna touch
Fernando
Don't call my name, don't call my name
Alejandro
I'm not your babe, I'm not your babe
Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name
Roberto
[Outro]
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
(Don't call my name, don't call my name) Alejandro, Alejandro
(I'm not your babe, I'm not your babe) Ale-Alejandro, Ale-Alejandro (Fernando)
(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)
(Don't call my name, don't call my name) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Roberto)
Alejandro34Embed";99
79;IN MY REMAINS;Linkin Park;"IN MY REMAINS Lyrics[Verse 1: Chester Bennington]
Separate
Sifting through the wreckage, I can't concentrate
Searching for a message in that fear and pain
Broken down and waiting for the chance to feel alive

[Chorus: Chester Bennington]
Now, in my remains
Are promises that never came
Set this silence free
To wash away the worst of me
[Verse 2: Chester Bennington]
Come apart
Falling in the cracks of every broken heart
Digging through the wreckage of your disregard
Sinking down and waiting for the chance to feel alive

[Chorus: Chester Bennington]
Now, in my remains
Are promises that never came
Set this silence free
To wash away the worst of me

[Bridge: Mike Shinoda with Chester Bennington]
Like an army falling one by one by one
Like an army falling one by one by one
Like an army falling one by one by one
Like an army falling one by one by one

[Chorus: Chester Bennington]
Now, in my remains (One by one, one by one)
Are promises that never came (One by one by one)
Set this silence free (One by one, one by one)
To wash away the worst of me (One by one by one)

[Outro: Mike Shinoda]
Like an army falling (One by one, one by one)
One by one by one (One by one by one)
Like an army falling (One by one, one by one)
One by one by oneYou might also like15Embed";101
80;Bitch Better Have My Money;Rihanna;"TranslationsEnglishPortuguêsBitch Better Have My Money Lyrics[Intro]
Yayo, yayo
Mula-la
Yayo

[Verse 1]
Bitch better have my money
Y'all should know me well enough
Bitch better have my money
Please don't call me on my bluff
Pay me what you owe me
Ballin' bigger than LeBron
Bitch, give me your money
Who y'all think y'all frontin' on?
[Pre-Chorus]
Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money

[Verse 2]
Turn up to Rihanna while the whole club fuckin' wasted
Every time I drop by, I am the only thing y'all playin'
In a drop top, doin' hundred, y'all in my rearview mirror racin'
Where y'all at? Where y'all at? Where y'all at? (Where y'all at?)

[Pre-Chorus]
Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot
You might also like[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
[Outro]
Bitch better have my money
Bitch better have my money
Bitch, bitch, bitch better have my money
Yo, that bitch better have my money
Hold up
My money
Yo, my money
That bitch better have my money
Bitch better have my money780Embed";103
81;Want U Back;Cher Lloyd;"TranslationsEspañolWant U Back Lyrics[Intro]
Uh!
Mmm, yeah
La-la-la-la-la-ah (Ha-ha)
Uh!

[Verse 1]
Hey, boy, you never had much game
Thought I needed to upgrade
So I went and walked away-way-way (Uh!)
Now I see you've been hangin' out
With that other girl in town
Lookin' like a pair of clowns, clowns, clowns (Uh!)
[Pre-Chorus]
Remember all the things that you and I did first?
And now you're doing them with her
Remember all the things that you and I did first?
You got me, got me like this (Uh!)
And now you're taking her to every restaurant?
And everywhere we went, come on!
And now you're taking her to every restaurant?
You got me, got me like this (Uh!)

[Chorus]
Boy, you can say anythin' you wanna
I don't give a ""shh"", no one else can have ya
I want you back, I want you back
Wan-want you, want you back (Uh!)
I broke it off thinkin' you'd be cryin'
Now I feel like ""shh"", lookin' at you flyin'
I want you back, I want you back
Wan-want you, want you back (Uh!)

[Verse 2]
Please, this ain't even jealousy (Hello, J)
She ain't got a thing on me (A thing on me)
Tryna rock them ugly, jeans, jeans, jeans (Uh!)
You clearly didn't think this through (Yeah, yeah)
If what I've been told is true (Is it true?)
You'll be crawlin' back like, boo-hoo-hoo (Uh!)
You might also like[Pre-Chorus]
Remember all the things that you and I did first? (What, what?)
And now you're doin' them with her (With her)
Remember all the things that you and I did first?
You got me, got me like this (Like this) (Uh!)
And now you're takin' her to every restaurant? (Yeah, yeah)
And everywhere we went, come on!
And now you're takin' her to every restaurant?
You got me, got me like this (Uh!)

[Chorus]
Boy, you can say anythin' you wanna
I don't give a ""shh"", no one else can have ya
I want you back, I want you back
Wan-want you, want you back (Uh!)
I broke it off thinkin' you'd be cryin'
Now I feel like ""shh"", lookin' at you flyin'
I want you back, I want you back
Wan-want you, want you back (Uh!)

[Post-Chorus]
Ooh-ooh-ooh-ooh
I thought you'd still be mine
When I kissed you goodbye, uh-oh, uh-oh
Ooh-ooh-ooh-ooh
And you might be with her
But I still had you first, uh-oh, uh-oh
[Interlude]
Yeah, yeah
Yo

[Bridge]
Remember all the things that you and I did first?
And now you're doin' them with her
Remember all the things that you and I did first?
You got me, got me like this (Oh-oh-oh)

[Chorus]
Boy, you can say anythin' you wanna
I don't give a ""shh"", no one else can have ya (Ooh-ooh, have ya)
I want you back, I want you back
Wan-want you, want you back (Ooh-oh, oh-oh, yeah)
I broke it off thinkin' you'd be cryin'
Now I feel like ""shh"", lookin' at you flyin'
I want you back, I want you back
Wan-want you, want you back (I want you back) (Uh!)

[Outro]
(Ooh-ooh-ooh) La-la-la-la-la
I want you back, I want you back
Wan-want you, want you back, yeah (Uh!), yeah
(Ooh-ooh-ooh) Ha, ha-ha-ha-ha-ha-ha-a
I want you back, I want you back
Wan-want you, want you back (Uh!)
Just sound like a helicopter, ""Brrr""26Embed";98
82;We Don't Talk Anymore;Charlie Puth;"TranslationsTürkçePortuguêsΕλληνικάEestiWe Don’t Talk Anymore Lyrics[Chorus: Charlie Puth]
We don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

[Verse 1: Charlie Puth]
I just heard you found the one you've been looking
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily
[Pre-Chorus: Charlie Puth]
Don't wanna know
What kinda dress you're wearin' tonight
If he's holdin' onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you outta my brain
Oh, it's such a shame

[Chorus: Charlie Puth]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

[Verse 2: Selena Gomez]
I just hope you're lyin' next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you
Might want me to come show up at your door
But I'm just too afraid that I'll be wrong

[Pre-Chorus: Selena Gomez]
Don't wanna know
If you're lookin' into her eyes
If she's holdin' onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you outta my brain
Ooh, it's such a shame
You might also like[Chorus: Charlie Puth & Selena Gomez, Charlie Puth]
That we don't talk anymore, we don't talk anymore
(We don't, we don't, we don't, we don't)
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
(We don't, we don't, we don't, we don't)
Oh, we don't talk anymore, like we used to do
Like we used to do

[Pre-Chorus 2: Charlie Puth & Selena Gomez]
Don't wanna know
What kinda dress you're wearin' tonight
If he's givin' it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you outta my brain
Oh, it's such a shame

[Chorus: Charlie Puth & Selena Gomez]
That we don't talk anymore, we don't talk anymore
(We don't, we don't, we don't, we don't)
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
(We don't, we don't, we don't, we don't)
Oh, we don't talk anymore, like we used to do
[Post-Chorus: Charlie Puth & Selena Gomez, Both]
We don't talk anymore, oh, oh
(Don't wanna know)
(What kind of dress you're wearin' tonight)
(If he's holdin' onto you so tight)
The way I did before
We don't talk anymore, oh, woah
(I overdosed, should've known your love was a game)
(Now I can't get you outta my brain)
Oh, it's such a shame
That we don't talk anymore72Embed";100
83;Focus;Ariana Grande;"TranslationsEspañolPortuguêsFrançaisFocus Lyrics[Verse 1]
Hey
I know what I came to do
And that ain't gonna change
So go ahead and talk your talk
'Cause I won't take the bait
I'm over here doin' what I like
I'm over here workin' day and night
And if my real ain't real enough
I'm sorry for you, bae
[Pre-Chorus]
Let's find a light inside our universe now
Where ain't nobody keep on holdin' us down
Just come and get it, let them say what they say
'Cause I'm about to put them all away, woo
[Chorus: Jamie Foxx & Ariana Grande]
Focus on me, f-f-focus on me, woo
Focus on me, f-f-focus on me, woo
Focus on me (Focus), f-f-focus on me, woo (Focus on me)
Focus on me (Focus), f-f-focus on me, woo (Focus on me)

[Verse 2]
I can tell you're curious
It's written on your lips
Ain't no need to hold it back
Go 'head and talk your shit (Hey)
I know you're hopin' that I'll react
I know you're hopin' I'm lookin' back
But if my real ain't real enough
Then I don't know what is (Hey, yeah)

[Pre-Chorus]
Let's find a light inside our universe now (Mmm, yeah)
Where ain't nobody keep on holding us down (Nobody keep on holdin' us down)
Just come and get it, let them say what they say (Ooh)
'Cause I'm about to put them all away, woo
You might also like[Chorus: Jamie Foxx & Ariana Grande]
Focus on me (Hey!), f-f-focus on me, woo (Yeah)
Focus on me (Ohh), f-f-focus on me, woo
Focus on me (Focus), f-f-focus on me, woo (Focus on me, baby)
Focus on me (Focus), f-f-focus on me, woo (Focus on me, babe)
[Breakdown]
One, two, three, c'mon girls (Uh, hey!)
You know I like it (Hey! Ba-da-ba-ba, ba-da-da-da-da-da)
(Focus on me) Come on, now, now
(Focus on me) Oh, woah, hey

[Pre-Chorus]
Let's find a light inside our universe now
Where ain't nobody keep on holding us down (Nobody keep on holding us down)
Just come and get it, let them say what they say (Let them say what they say)
'Cause I'm about to put them all away, no
[Chorus: Jamie Foxx & Ariana Grande]
Focus on me (Yeah, yeah, yeah, yeah) (Hey) , f-f-focus on me, woo
(You know I like it when you focus on me)
Focus on me (Yeah, yeah, yeah, yeah), f-f-focus on me, woo (Focus on me)
Focus on me (Yeah, yeah, yeah, yeah) (Focus), f-f-focus on me, woo (Oh yeah, no) (Focus on me)
Focus on me (Yeah, yeah, yeah, yeah) (Focus), f-f-focus on me, woo (Yeah, no) (Focus on me)
Focus on me (Yeah, yeah, yeah, yeah), f-f-focus on me (Focus on me), woo
Focus on me (Ooh, yeah) (Yeah, yeah, yeah, yeah), f-f-focus on me (Focus on me, oh), woo
Focus on me (Yeah, yeah, yeah, yeah) (Focus), f-f-focus on me, woo (Focus on me)
Focus on me (Yeah, yeah, yeah, yeah) (Focus), f-f-focus on me, woo (Focus on me) (Focus on me, babe)80Embed";100
